mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.9662488460540772,0.36793138848048235,0.0603302001953125,0.03316274899938125,0.8,0.1,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.9486754966887417,0.9480546357615894,0.9474337748344371,0.9447319395570275,0.9432829641896088,0.946435762206281,0.0020725027527123477,6
2.5297189712524415,0.39778143489667606,0.07565226554870605,0.05687281509588018,0.8,0.1,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.9474337748344371,0.9482615894039735,0.9466059602649006,0.9424549782653695,0.9420409853032499,0.9453594576143862,0.0025971980471236962,10
5.51857180595398,0.5242765273808423,0.04749584197998047,0.0031466539564689285,0.8,0.1,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.9497102649006622,0.9484685430463576,0.9505380794701986,0.9476298902918651,0.9445249430759677,0.9481743441570103,0.0020807406570581407,3
4.499964094161987,1.104192273313764,0.1865861415863037,0.12391034215251706,0.8,0.1,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.9515728476821192,0.9480546357615894,0.9499172185430463,0.9486648726971642,0.9434899606706686,0.9483399070709175,0.002707352172847919,2
1.7763882637023927,0.39609406801200886,0.09897480010986329,0.15653544782486573,1.0,0.05,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9045943708609272,0.9083195364238411,0.9083195364238411,0.9064375905609605,0.9060235975988408,0.9067389263736821,0.001428164775980654,45
1.3990522861480712,0.45430248775319443,0.0939551830291748,0.08396328494912746,1.0,0.05,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9045943708609272,0.9110099337748344,0.9079056291390728,0.9033326433450631,0.9056096046367211,0.9064904363513238,0.002711870686862757,46
3.38985857963562,1.2303143510703711,0.045766448974609374,0.03570618573026357,1.0,0.05,3,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9207367549668874,0.921978476821192,0.9223923841059603,0.9192713723866694,0.920927344235148,0.9210612665031714,0.0010899644672446966,42
3.2169955253601072,0.9520749411546476,0.05290508270263672,0.03174883469103568,1.0,0.05,3,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9213576158940397,0.9221854304635762,0.9203228476821192,0.9194783688677293,0.9205133512730284,0.9207715228360985,0.0009255105604250965,44
2.5829790115356444,1.0387231593575392,0.04523887634277344,0.021672670997939583,1.0,0.05,5,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9283940397350994,0.9294288079470199,0.9244619205298014,0.924446284413165,0.9256882632995239,0.9264838631849219,0.002058855635250403,35
1.7812460899353026,0.640675688587684,0.09626126289367676,0.13386329519884727,1.0,0.05,5,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.9288079470198676,0.9248758278145696,0.9238410596026491,0.9254812668184641,0.9225833160836265,0.9251178834678354,0.0020910054244134874,36
4.8544398784637455,0.38991656996072066,0.038460302352905276,0.004074597010982808,1.0,0.05,5,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9401903973509934,0.9368791390728477,0.9403973509933775,0.9354170979093356,0.9341751190229766,0.937411820869906,0.0025049066174877028,25
3.612983226776123,0.5505829413778461,0.04033660888671875,0.004539242635540585,1.0,0.05,5,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9383278145695364,0.9317052980132451,0.9362582781456954,0.9366590767956945,0.9318981577313186,0.934969725051098,0.002678882352542409,28
2.856600046157837,0.6028924045995004,0.07541918754577637,0.07601336828129814,1.0,0.05,7,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.9408112582781457,0.9422599337748344,0.9424668874172185,0.9374870627199338,0.9374870627199338,0.9401024409820133,0.002210348884807216,19
1.7509114265441894,0.38044051246913524,0.06340551376342773,0.06415564854025134,1.0,0.05,7,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.9389486754966887,0.9420529801324503,0.9395695364238411,0.9368660732767543,0.9358310908714552,0.9386536712402378,0.0021745622045746624,20
5.83575930595398,1.2298015798009632,0.1444706439971924,0.11427375511883321,1.0,0.05,7,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.9463990066225165,0.9480546357615894,0.945364238410596,0.9457669219623266,0.9412129993790106,0.9453595604272079,0.0022673250001348857,9
